t,x,x_dot,theta,theta_dot,u
2.3000000000000003,-0.015133027245574544,0.014932146077056278,0.000880540752695724,-0.001331040830131832,-0.0002634605562628345
2.31,-0.014984480796316101,0.014777354655539232,0.0008674072893112496,-0.0012979448540302223,-0.00026335560415452486
2.32,-0.014837471172896178,0.014624892237899726,0.0008545967381497898,-0.0012649455399954522,-0.00026996968874665184
2.33,-0.014691975910521557,0.014474763518382752,0.000842101425546552,-0.0012312653269795372,-0.0002910965277691524
2.34,-0.014547973043204161,0.014326539413494979,0.0008299145465714716,-0.0012015659010332132,-0.00027995298612226716
2.35,-0.01440544124270199,0.014180328877692968,0.0008180282584610235,-0.0011738003960149615,-0.0002570429977686861
2.36,-0.014264359719311495,0.01403624183373288,0.0008064347514022596,-0.0011459267418053383,-0.00024281192900790782
2.37,-0.01412470817909333,0.01389420879574803,0.0007951266146139312,-0.0011181623048748953,-0.00023502937218089492
2.38,-0.013986466835429123,0.01375414376583368,0.0007840965242348156,-0.0010909475639504277,-0.0002292176237899124
2.39,-0.01384961642670477,0.013616145014855623,0.0007733368557885502,-0.001062436209738512,-0.000243830914150589
2.4,-0.0137141381163773,0.01347994995261387,0.000762840768220164,-0.0010353091610051217,-0.000251899802305805
2.41,-0.013580013576441202,0.013345550442558156,0.0007526009969663151,-0.001009082924651641,-0.00025819205978422355
2.42,-0.013447224899061831,0.013212718678999837,0.0007426107966610376,-0.0009860359846967938,-0.0002397614350773125
2.43,-0.013315754714774463,0.013081840086016679,0.0007328623036229615,-0.0009607973133107109,-0.0002503932241750273
2.44,-0.013185585944109695,0.012952423290294507,0.0007233494825522678,-0.000938971606813006,-0.000233761858580539
2.45,-0.013056702003185773,0.01282448387369216,0.0007140654007528719,-0.000919842060798066,-0.0001969521269225838
2.46,-0.01292908677432925,0.012698438573253949,0.0007050024417837984,-0.0008976926451630196,-0.00019719497995390745
2.47,-0.01280272444260052,0.012574148770096032,0.0006961541976834697,-0.0008737643174558767,-0.0002219267452690521
2.48,-0.012677599535919692,0.012451251965813927,0.0006875148186511469,-0.0008521112924034351,-0.0002303582644895552
2.49,-0.01255369700379845,0.012329736247133934,0.0006790778827144615,-0.0008324199329047121,-0.00022551410638568803
2.5,-0.01243100215140566,0.012209596983059227,0.0006708370763793682,-0.0008142997917552015,-0.00021118648858053923
2.5100000000000002,-0.012309500650039207,0.01209097585570651,0.0006627859229106064,-0.0007955454417978779,-0.0002093724730318769
2.52,-0.012189178449486736,0.011973676925511774,0.0006549187397840168,-0.0007781854144432271,-0.00019959314179271437
2.5300000000000002,-0.012070021858326629,0.011857744706768755,0.0006472294997022369,-0.0007612559295806875,-0.00019138577746447005
2.54,-0.011952017493973885,0.011743215666865566,0.0006397123226835446,-0.0007439068831239542,-0.00019314582943852354
2.5500000000000003,-0.011835152257352669,0.01163002405859524,0.0006323616632263219,-0.0007265786568885715,-0.00020032181096471535
2.56,-0.01171941334936549,0.011518170820163919,0.0006251719779571294,-0.0007088905610755675,-0.00021659812264851475
2.57,-0.011604788199226904,0.011407332637179605,0.0006181384979427353,-0.0006945272892282585,-0.0002048758386838656
2.58,-0.011491264584885757,0.01129768591722263,0.0006112556028675239,-0.0006809388792304444,-0.00019059995770490112
